Company Name,Factory Address,Principal Exportable Product
1st & Fair Fashion Wear Pvt. Ltd.,"Holding # 2059, Joy Bangla Road, National University
Gazipur
Joydevpur","Shirts
											 ,Pants"
3A Fashions Ltd.,"Khejur Bagar, Baro Ashulia
Dhaka
Savar","T-Shirts
											 ,Polo Shirts"
3M Composite Ltd.,"Lithe Complex, Asian High Way, Shanarpar
Narayanganj
Siddirganj","T-Shirts
											 ,Polo Shirts"
3N Fashion (BD) Ltd.,"Plot # 2924,2925,2939,2940, (Chairman Plaza) Dakkhin Khan Bazar
Dhaka
Dakkhin Khan","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
3S International Ltd.,"144/1, Alubdi (Ground & 1st Floor), Pallobi
Dhaka
Mirpur-12","T-Shirts
											 ,Polo Shirts"
4 Star Fashions Ltd.,"385/1, East Rampura (6th Floor),
Dhaka
Rampura",Sweaters
4 You Clothing Ltd.,"167/1, Senpara Parbata, Section # 10
Dhaka
Mirpur","Shirts
											 ,Blouses											,Trousers"
4A Yarn Dyeing Ltd.,"Kaichabari, Banshbari, DEPZ Road
Dhaka
Dhaka","Sweaters
											 ,Pullovers											,Cardigans"
4S-Park Style Ltd.,"Durgapur, Ashulia
Dhaka
Savar","T-Shirts
											 ,Polo Shirts											,Sleep Boxer											,Sweet Shirts"
N/A,N/A,N/A
9 Star Apparels Inds. Ltd.,"Plot # 56, Vatulia, House # 116, Nurani Madrasa Road # 5, Uttara
Dhaka
Dhaka","Caps
											 ,Hats"
A & A Fashion Sweaters Ltd.,"Naljani (Wireless Gate),
Gazipur",Sweaters
A & A Trousers Ltd.,"Haribari Tak, Pubail College Gate
Gazipur
Sadar","Ladies Blouses
											 ,Men's Pants											,Denim Jackets											,T-Shirts"
A & B Design & Fashion (Pvt.) Ltd.,"Kalma, Dairy farm
Dhaka
Savar",Sweater
N/A,N/A,N/A
A J Fashions Ltd.,"234/4, Kachukhet,
Dhaka
Cantonment","Padding Jackets
											 ,Shorts											,Fleece Tops											,Pants"
A One Dress Makers Ltd.,"1703,  Rayerbagh, Dania
Dhaka
Shampur","Shirts
											 ,Pants											,Skirts"
A Plus Industries Ltd.,"Plot # 28, Section # 7,
Dhaka
Dhaka","Shirts
											 ,Sweaters"
N/A,N/A,N/A
A Plus Sweater Ltd.,"Sarifpur Road, Maleker Bari, National University
Gazipur
Gazipur",Sweater
N/A,N/A,N/A
A.B. Sweater Inds. (BD) Ltd.,"Khadun, Tarabo Pouroshava, Rupganj
Narayanganj
Narayangonj",Sweaters
N/A,N/A,N/A
N/A,N/A,N/A
A.B.M. Fashions Ltd.,"Holding # 1143, 1145, Konabari
Gazipur
Kashimpur","Trousers
											 ,Overalls											,Children Wears											,Uniforms"
N/A,N/A,N/A
A.G. Dresses Limited.,"Plot # 9, Block - C, Tongi I/A, Himardighi
Gazipur
Tongi","Shirts
											 ,Trousers"
N/A,N/A,N/A
A.J. Super Garments Ltd.,"Goshbagh (1st - 6th Floor), Zirabo, Ashulia
Dhaka
Savar","Shirts
											 ,Pants											,Trousers											,Shorts"
A.K. Khan & Co. Ltd.(Garments Div),"Kalurghat Heavy Industrial Area,
Chittagong
Kalurghat",Ladies Shirts
A.K.J. Fashions Fabrics Ltd.,"Plot # 15-16, Road # 4, Section # 7
Dhaka
Mirpur","Trousers
											 ,Jackets											,Overalls											,Pants"
A.K.M. Knit Wear Ltd.,"14, Gedda, Conpara, Ulail
Dhaka
Savar","Pants
											 ,Trousers											,Jackets											,Rumpers"
N/A,N/A,N/A
A.M. Design Ltd.,"Diakhali, Baron, Zirabo, Ashulia
Dhaka
Savar","Ladies Dress
											 ,Jackets											,Skirts											,Trousers"
A.M. Fashion,"MazuKhan, Harbide
Gaibandha
B. Baria",Sweater
N/A,N/A,N/A
N/A,N/A,N/A
A.N. Sweaters Ltd.,"Plot # 6594-95, South Halishahar
Chittagong",Sweaters
N/A,N/A,N/A
N/A,N/A,N/A
A.R. Khan Sizing & Fabrics Ltd.,"South Silimandi,
Narsingdi
Panchdona",Sweaters
A.R.B. Knitting & Dyeing Inds. Ltd.,"Dewan Idris Road, Zirabo
Dhaka
Savar","T-Shirts
											 ,Polo Shirts											,Fleece Shirts"
N/A,N/A,N/A
N/A,N/A,N/A
A.S. Garments & Textiles Ltd.,"109, Goran,
Dhaka
Shabujbagh","Pants
											 ,Jackets											,Trousers											,Skirts"
N/A,N/A,N/A
A.S.R. Apparels Ltd.,"768, DIT Road,
Chittagong
Double Mooring","T-shirts
											 ,Cripper"
A.T.S. Apparels Ltd.,"414, Kochakuri, Talirchala, Mouchak
Gazipur
Kaliakoir","Shirts
											 ,Pants											,Payjama											,Shorts"
A.Z. Stitch Ltd.,"Gabindapur, Ujampur, Uttar Khan
Dhaka
Uttara",Sweaters
A4B Wears Ltd.,"123, Dewanhat,
Chittagong
Double Mooring","Denim Shorts
											 ,Denim Jackets											,T-Shirts"
N/A,N/A,N/A
Aanytex Limited,"CH Plot # 1260, Harirampur, Turag
Dhaka
Dhaka","T-Shirts
											 ,Polo Shirts"
N/A,N/A,N/A
AB Apparels Ltd.,"225, Singair Road, Hemayetpur
Dhaka
Savar","Shirts
											 ,Pants"
AB Fashion Maker,"Digirchala,, Chandana Chowrasta,
Gazipur
Chandana","Shirts
											 ,Pants"
AB Mart Fashion Wear Ltd.,"786, Kakil Satiash Borodawra, 13/3, Purbapara, Mudafa, Tongi
Gazipur
Gazipur","Jackets
											 ,T-Shirts											,Polo Shirts"
N/A,N/A,N/A
