Company Name,Factory Address,Principal Exportable Product
ABA Fashions Ltd.,"Sena Kalyan  Comm. Complex (6th Floor), Plot # 9, Block-F
Gazipur
Tongi","Sports & Casual Wear
											 ,Trousers											,Shorts											,Jackets"
ABA Garments Ltd.,"Sena Kalyan  Comm. Complex (6th & 8th Floor), Plot # 9, Block-F
Gazipur
Tongi","Jackets
											 ,Trousers											,Shorts											,Vests"
Ababil Knit Composite Ltd.,"A/6, BSCIC, Shasongaon
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts"
Abanti Colour Tex. Ltd.,"Plot # S.A.-646, Shashangaon,
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts"
ABC Garments Ltd,"26, Mirpur Road,
Dhaka
Mirpur Road","Jackets
											 ,Shorts											,Trousers											,Windbreakers"
ABC Knit Dyeing & Finishing Mills Ltd.,"Plot # 1, 3 & 5, Road # 14/A, Kadamtoli
Dhaka
Shampur","T-Shirts
											 ,Polo Shirts											,Tank Top"
N/A,N/A,N/A
Abedin Garments Ltd.,"228/A, Tejgaon, Industrial Area
Dhaka
B. Baria","Shirts
											 ,Babies Trousers											,Girls Dress											,Dresses"
ABG Sweaters Ltd.,"Teknogopara, Chanda Chourasta
Gazipur
Gazipur Sadar",Sweaters
Abir Fashions,"Plot # 44, Road # 2, Kutubail, (Post office Road), Fatullah, Narayanganj
Narayanganj
Narayangonj","T-Shirts
											 ,Polo Shirts											,Tank Tops											,Jacket"
Abloom Design Ltd.,"37, South Sastapur,
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts"
Ably Garments Ltd.,"JBC Shopping Centre (4th Floor), 22-23, Station Road
Chittagong","Jackets
											 ,Dresses											,Pants											,Tops"
Aboni Fashions Ltd.,"Plot # 23-24, Tetuljhora, Hemayetpur
Dhaka
Savar","Shirts
											 ,Blouses"
Aboni Knit Wear Ltd.,"160-171, Tetulgora, Hemayetpur
Dhaka
Savar",
Absolute Quality Wear Limited,"M-15 & M-18, Section # 14
Dhaka
B. Baria","Outerwear
											 ,Jackets and Uniform"
ABSS High-Tech Sweater Ltd.,"Kalemeshar, Bord Bazar
Gazipur
National University",Sweaters
Achieve Fashion Ltd.,"House # 39, Lane # 1, Yeasuddin Road, Noyapara
Dhaka
Dakkhin Khan","Shirts
											 ,Pants"
ACME Apparels (Pvt) Ltd.,"CEPZ Lane, Omarshah Para, South Middle Halishahar
Chittagong
Bandar","T-Shirts
											 ,Boxer Shorts											,Bikini Briefs"
N/A,N/A,N/A
Active Composite Mills Ltd.,"Dewan Idris Road, ZIrabo, Ashulia
Dhaka
Savar","T-Shirts
											 ,Polo Shirts											,Kids Items"
Active Stitch Ltd.,"25-26, Posgola I/A, Dastagir Market-2
Dhaka
Postagola","Jersey
											 ,Pants											,T-Shirts											,Polo Shirts"
N/A,N/A,N/A
Actor Sporting Limited,"SFB-1 (2nd Floor), DEPZ, Ganokbari
Dhaka
Savar",Caps
Adams Apparels Ltd.,"ETDA Bhaban, Plot # I/15-18, Lane-6, Block-D, Shahid Bag, Section-12
Dhaka
Mirpur","Basic Denim
											 ,Cargo Shorts											,Overalls											,Jackets"
N/A,N/A,N/A
N/A,N/A,N/A
Adhunik Poshak Shilpa Ltd.,"Civil Engineers Towers, Industrial Plot # 1, Block - E, Avenue # 1, Section # 11
Dhaka
Mirpur","Shirts
											 ,Jackets											,Pants											,Shorts"
Adila Apparels,"Eshak Shopping Complex (1st Fl), 212, Baizid Bostami
Chittagong
Chittagong","T-Shirts
											 ,Underwears											,Panties											,Bra"
Aditi Apparels Ltd.,"26/A/B, 2nd Colony, Section # 1
Dhaka
Mirpur","Padding Jackets
											 ,Children Wears											,Long Pants"
Aditto Fashion Ltd.,"228/7, Dighirchala,,
Gazipur
Chandana","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
N/A,N/A,N/A
Adorn Fashions Ltd.,"228/7, Dighi Chala, Chandona Chowrasta
Gazipur
Chandana",Sweaters
N/A,N/A,N/A
Adorn Knitwear Ltd.,"42, Chowrangi Super Market (4th Fl), Savar Bazar
Dhaka
Savar","T-Shirts
											 ,Polo Shirts											,Tank Tops"
Adury Apparels Ltd.,"Karardi,
Narsingdi
Shibpur","T-Shirts
											 ,Polo Shirts											,Tank Top"
Advance Attire Ltd.,"25/2, Shah Ali Bagh (4th & 5th Floor), Mirpur-1
Dhaka
Dhaka","Shirts
											 ,Bottoms											,Pant											,Jacket"
Advance Design,"5, Sujat Nagar (7th & 8th Fl), Section # 12, Pallabi
Dhaka
Mirpur","Jackets
											 ,Pants											,T-Shirts"
N/A,N/A,N/A
Advance Sweater Industry Ltd.,"70/3, Chandana,
Gazipur
Joydevpur",Sweaters
Advance World Ltd.,"Shiachar, Lal Khan,
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts											,Single Jersey"
N/A,N/A,N/A
N/A,N/A,N/A
AFCO Abedin Garments Ltd.,"House # 84, New Airport Road,
Dhaka
Banani","Pants
											 ,Trousers											,Overalls											,Shorts"
Affan Composite Ltd.,"Kashizuli, Vitipara, Bormi
Gazipur
Sreepur","Shirts
											 ,Pants"
Afrah Dresses Ltd.,"CDA Market, 75/B, Sagorica Complex
Chittagong
Pahartoli","Jackets
											 ,Pants											,Skirts"
N/A,N/A,N/A
N/A,N/A,N/A
Aftab Garments Ltd.,"Vannara, Mouchak
Gazipur
Kaliakoir","T-Shirts
											 ,Polo Shirts"
Aftabunnesa Garments Ltd.,"Moghal Nagar Waskuruni Road,
Dhaka
Jatrabari","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
Aftabunnesa Textiles Ltd.,"Moghal Nagar, Waskuruni Road
Dhaka
Demra","Shirts
											 ,Pants											,Trousers"
N/A,N/A,N/A
Agami Apparels Ltd.,"62, Kathgara, Bishmail, Zirabo Road, Ashulia
Dhaka
Savar","Shirts
											 ,Jackets											,Pants"
Agami Fashions Limited,"Holding # H-79/1, Chandra, Kaliakoir Pourashava
Gazipur
Kaliakoir","Shirts
											 ,Jackets											,Pants"
N/A,N/A,N/A
AG's Apparels Ltd,"Sat Masjid Super Market (2nd floor), Plot # Gha, Block # D
Dhaka
Mohammadpur","Ladies Shirts
											 ,Fashion Wears											,Infants Wears											,Uniforms"
Ahad Fashion Ltd.,"Remon Tower, Baipail, Natun Para, Ashulia
Dhaka
Savar","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
Ahmed Fashions,"34/1, Darus Salam Road, Mirpur-1, Dhaka-1216
Dhaka
Dhaka","Tops
											 ,T-shirts											,Jacket											,Polo Shirt"
Ahsan Apparels Ltd.,"Siddhirganj Pool, siddirgonj
Narayanganj
Narayangonj","Tank Top
											 ,Sweat Shirt											,T-Shirts											,Polo Shirts"
AIM Knit Wear Ltd.,"H-79, Block-D, International Airport Road
Dhaka
Banani","T-Shirts
											 ,Polo Shirts"
N/A,N/A,N/A
Ajax Sweater Ltd.,"Zirabo,
Dhaka
Savar",Sweaters
AJI Apparels Industry Ltd.,"226, Singair Road, Hemayetpur
Dhaka
Savar","T-Shirts
											 ,Polo Shirts											,Jackets											,Vests"
Akbar Apparels Ltd.,"Kasorghar,
Mymensingh
Valuka","T-Shirts
											 ,Polo Shirts											,Tank Top"
AKH Apparels Ltd.,"128, Hemayetpur,
Dhaka
Savar","Shirts
											 ,Jackets											,Pants"
AKH Eco Apparels Ltd.,"495 Balitha, Shah-Belishwer
Dhaka
Dhamrai","Shirts
											 ,Pants"
AKH Fashions Ltd.,"133/134, Hamayetpur,
Dhaka
Savar","Shirts
											 ,Blouses											,Denim"
AKH Knitting & Dyeing Ltd.,"92, Phulbaria, Tetulzora
Dhaka
Savar",Knit Items
AKH Knitwear Ltd.,"92, Raj Phulbaria,
Dhaka
Savar","T-Shirts
											 ,Polo Shirts											,Dresses"
AKH Shirts Ltd.,"133-134, Hemayetpur,
Dhaka
Savar","Shirts
											 ,Blouses											,Jogging Suits											,Trousers"
AKH Stitch Art Ltd.,"Plot # 1, Road # 1, Berribandh
Dhaka
Mohammadpur","Fleece Shirts
											 ,Trousers											,Jackets											,Polo Shirts"
Akhand Fashion (Pvt.) Ltd.,"Section # 7, Avenue # 1, Plot # 4 & 5, Pallabi I/A
Dhaka
Dhaka","Ladies Dress
											 ,Ladies Swimmer											,Denim											,T-Shirt"
Akik Apparels Ltd.,"220/A, 1/1, West Kafrul, Begum Rokeya Sarani
Dhaka
Mirpur","Shirts
											 ,Ladies Blouses											,Ladies Dresses"
AKR Fashions Ltd.,"Jorpul Bus Stand, Tetuljhora, Rajfulbaria, Savar, Dhaka
Dhaka
Dhaka","Men's Shirt
											 ,Ladies Shirt											,Pant"
Al-Amin Export Ltd.,"Al-Amin Center, Madani Nagar, Sanarpar
Narayanganj
Siddirgonj",Sweater
Al-Amin Garment Inds. Ltd,"Wazedia, Panchlaish,
Chittagong
Panchlaish","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
Alamode Apparels Ltd.,"12/13, BSCIC I/A,
Chittagong
Kalughat","T-Shirts
											 ,Underwears											,Briefs"
N/A,N/A,N/A
Alauddin & Sons (Pvt.) Ltd. (Gr.Dv.),"120, East Tejturi Bazar,
Dhaka
Tajgaon I/A","Jackets
											 ,Trousers											,Pants											,Dresses"
Alauddin Garments Ltd.,"88, Kazi Nazrul Islam Avenue,
Dhaka
Kawran Bazar","Shirts
											 ,Dresses											,Pants											,Jackets"
N/A,N/A,N/A
Aleaya Sweater Ltd.,"Dhour,
Dhaka
Uttara",Sweaters
N/A,N/A,N/A
Alema Textiles Ltd.,"Basan Sarak Bazar,
Gazipur
Vogra","T-Shirts
											 ,Blouses											,Jackets											,Pants"
Alert Fashions Ltd.,"J. Alam Tower, Abdul Latif Road, Middle Halishahar
Chittagong
Bandar","T-Shirts
											 ,Polo Shirts											,Under Garments											,Swim Suits"
Aleya apparels Ltd.,"244, Hemayetpur,
Dhaka
Savar","Shirts
											 ,Pants"
Alfa Patterns (Bangladesh) Ltd.,"Plot # 58, DEPZ (Old), Ganakbari
Savar
Dhaka","Panties
											 ,Bra"
Alfa Textiles Ltd.,"49 (NP), Kalurghat I/A,
Chittagong
Kalurghat","Dress Shirts
											 ,Shirts											,Pants"
N/A,N/A,N/A
N/A,N/A,N/A
Ali Garments Ltd.,"8, Dagerhcala (3rd Floor),
Gazipur
National University","Jackets
											 ,Jogging Suits											,Pants											,Shorts"
Alif Apparels Limited,"Road # 01, House # 11, Kha Ring Road
Dhaka
Mohammadpur","Shirts
											 ,Blouses											,Sports wear"
Alif Casual Wear Ltd.,"69 Vogra,
Gazipur
Gazipur Sadar","T-Shirts
											 ,Polo Shirts											,Shirts											,Pants"
Alif Garments Ltd,"21/22, Babar Road, Block- B
Dhaka
Mohammadpur","Men's Shirts
											 ,Ladies Blouses											,Dresses"
Alif Outwears Limited,"30, Ring Road (2nd Floor),
Dhaka
Shamoli","Shirts
											 ,Ladies Blouses											,Jacket"
Alif Textiles Ltd.,"74/A, Science Laboratary Road,
Dhaka
Dhanmondi","Men's Shirts
											 ,Ladies Blouses											,Uniforms"
Alim Knit (BD) Ltd.,"Kashimpur,
Gazipur
Nayapara","T-Shirts
											 ,Polo Shirts"
Alim Knitwears Ltd.,"27, Harunabad, Senanibas Road, Section # 12, Pallabi
Dhaka
Dhaka","T-Shirts
											 ,Polo Shirts											,Knit Trousers"
N/A,N/A,N/A
N/A,N/A,N/A
Al-Islam Textiles Ltd.,"9, Karnapara, Savar, Dhaka
Dhaka
Dhaka","Jackets
											 ,Trouser											,Shirt											,Pant"
Al-Ittefaq Textiles Ltd.,"Plot # 11, Mohora CDA I/A,
Chittagong
Chandgaon","T-Shirts
											 ,Polo Shirts"
N/A,N/A,N/A
Aliza Fashion Ltd.,"Chaydank, K.B. Bazar, National University
Gazipur
Gazipur","Pants
											 ,Trousers											,Jackets"
All Round Knit Wear Ltd.,"Godenail, Bhuiyanpara
Narayanganj
Siddirgonj","T-Shirts
											 ,Polo Shirts"
All Weather Fashions Ltd.,"52, Shaheed Tajuddin Ahmed Sarani,
Dhaka
Mohakhali","Jackets
											 ,Children Wears											,Trousers											,Dress"
N/A,N/A,N/A
Allahma Apparels,"Plot # 97, Street # 1, Block # D, Section # 2
Dhaka
Mirpur",T-Shirts/Polo Shirts
N/A,N/A,N/A
Alliance Apparels Ltd.,"Shamsher Market, Darussalam, 191/1, South Bishil, Section # 1
Dhaka
Mirpur","Shirts
											 ,Jackets											,Pants"
N/A,N/A,N/A
N/A,N/A,N/A
Alliance Fashion Wears Ltd.,"House # 79, Block - L, New Airport Road
Dhaka
Banani","Jackets
											 ,Denim Items											,Trousers											,Jogging Suits"
Alliance Garments Ltd.,"House # 8 & 10, Road # 3, Section # 7, Mirpur I/A
Dhaka
Mirpur","Trousers
											 ,Padded Jackets											,Jogging Suits"
Alliance Knit Composite Ltd.,"Zirabo, Ashulia
Dhaka
Dhaka","T-Shirts
											 ,polo Shirts"
Alliance Stitches Ltd.,"SFB # 4 (1st & 2nd floor), Ganakbari
Dhaka
Dhaka","Trousers
											 ,Skirts											,Vest"
Allied Garments Ltd.,"468, D.I.T. Road, Malibagh Supper Market
Dhaka
Malibagh","Shirts
											 ,Ladies Blouses											,Children Wears"
Alltex Industries Ltd.,"Tarabo,
Narayanganj
Rupganj","Bad Sheets
											 ,Quilt Covers"
Allure Apparel Ltd.,"Gorat (3rd Floor), Ashulia
Dhaka
Savar","Jackets
											 ,Pants"
Alluring Fashions Ltd.,"Bijoy Road, Mogarkhal, National University
Gazipur
Gazipur Sadar","Shirts
											 ,Pants"
Al-Muslim Fashions Wear Ltd.,"Razzak Plaza, B-120 Jaleshwar, Savar Bazar Bus Stand
Dhaka
Savar Bazar","Jackets
											 ,Pants											,Pumpers											,Trousers"
Al-Muslim Garments Ltd.,"Razzak Plaza, B-120 Jaleshwar, Savar Bazar Bus Stand
Dhaka
Savar","Pants
											 ,Jackets											,Trousers											,Rumpers"
N/A,N/A,N/A
Alpha Clothing Ltd.,"South Panishail,
Gazipur
Kashimpur","Shirts
											 ,Pants"
Alpha Dresswear Ltd.,"Shi-201/8, Teknagpara
Gazipur
Chandana","T-Shirts
											 ,Polo Shirts"
Alpha Knit Apparels Ltd.,"North Gazir Chat, Madrasha Road, Ashulia
Dhaka
Savar","T-Shirts
											 ,Polo Shirts"
Alpha Knitting Wear Ltd.,"888, Shawra Para, Rokeya Sarani
Dhaka
Mirpur","Shirts
											 ,Gir's Shirts											,Boy's Shirts"
N/A,N/A,N/A
Alps Apparels Ltd.,"11/B, Extension Pallabi,
Dhaka
Mirpur","T-Shirts
											 ,Polo Shirts											,Tank Top"
N/A,N/A,N/A
N/A,N/A,N/A
Alsina Garments Ltd.,"A-84/4 East rajashon, Birulia Road, Rajashon
Dhaka
Savar","Shirts
											 ,Pants"
Al-Tahsin Apparels Ltd.,"Chandura, Mouchak
Gazipur
Kaliakoir","Long Pants
											 ,Polo Shirts											,Sweat Shirts											,Bermuda"
Alternative Sweaters Ltd.,"Holding # 1745/1, Uttar Mullah Para, Uttar Khan
Dhaka
Uttara",Sweater
Alvin Fashion Ltd.,"Chaydana,
Gazipur
K.B. Bazar","Jackets
											 ,Pants											,Trousers"
Ama Syntex Ltd.,"Jarun (South),
Gazipur
Kashimpur","T-Shirts
											 ,Polo Shirts											,Tank Tops"
Aman Fashions & Designs Ltd.,"Nalam, Mirzanagar, Ashulia
Dhaka
Savar",Sweaters
Aman Graphics & Designs Ltd.,"Nazim Nagar, Hemayetpur
Dhaka
Savar","Shirts
											 ,Jackets											,Pants"
Aman Knittings Ltd.,"Kulasur, Hemayetpur
Dhaka
Savar",Sweaters
Aman Sweaters Ltd.,"Rajaghat Road, Rajfulbaria
Dhaka
Savar",Sweaters
Aman Tex Unit-2 Ltd.,"Boiragirchala,
Gazipur
Sreepur","T-Shirts
											 ,Polo Shirts"
Aman Winter Wears Ltd.,"Singair Road, Hemayetpur
Dhaka
Savar","Sweaters
											 ,Pullovers"
Amana Knittex,"Amana Complex, Masdair,, Gorosthan, Gabtoli Mor
Narayanganj
Fatullah","t-Shirts
											 ,Polo Shirts"
Amana Textile,"Amana Complex, Masdair, Gorosthan Mor
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts"
Amanah Fashion Ltd.,"House # 30, Hazi Mofiz Uddin Member Road,, Hajipara
Dhaka
North Badda","Shirts
											 ,Pants"
Amantex Ltd.,"Boiragirchala,
Gazipur
Sreepur","T-Shirts
											 ,Polo Shirts											,Knitted Top/BOttom"
N/A,N/A,N/A
Amazing Fashions Ltd.,"10, Dager Chala, National University
Gazipur
Board Bazar","T-Shirts
											 ,Polo Shirts											,Knitted Jackets"
N/A,N/A,N/A
Ambia Apparels Ltd.,"7, Agrabad C/A,
Chittagong","T-Shirts
											 ,Pants											,Swimming Trunks											,Wind Suits"
Ambia Fashions Ltd.,"171/A, Dewanhat, Port City
Chittagong
Doublemooring","Jackets
											 ,Trousers											,Pants"
Ambition Garments Ltd.,"Al-Amin Plaza, 320, East Rampura
Dhaka
Rampura","Shirts
											 ,Trousers											,Pants											,Shorts"
AMC Knit Composite Ltd.,"Baniachala, Member Bari
Gazipur
Gazipur Sadar","T-Shirts
											 ,Polo Shirts											,Shorts"
AMC Sweaters Ltd.,"158/283, Choydana, National University
Gazipur
Gazipur","Sweaters
											 ,Pullovers											,Cardigans											,Vest"
N/A,N/A,N/A
Ameen Fabrics Ltd.,"Senpara, Kanchpur
Narayanganj
Sonargaon","Pants
											 ,Jackets											,Jogging Suits"
Ameertex Limited,"Anandapur,
Dhaka
Savar",Knit Items
Amena (Pvt) Ltd.,"Abdul Latif Market, Road # 9/C, Ahalia, Sector # 6
Dhaka
Uttara","Shirts
											 ,Trousers											,Swimming Shorts"
Amex Apparel Ltd.,"Road # 13, Plot # 21, Shampur
Dhaka
Kadamtoli","T-Shirts
											 ,Polo Shirts											,Pants											,Sweat Wears"
Amex Knitting & Dyeing Inds. Ltd. (U-2) G.D.,"Plot # 19, Road # 13, Rajuk Shampur, Kadamtoly
Dhaka
Old Dhaka","T-Shirts
											 ,Polo Shirts											,Sweat Shirs											,Tank Top"
Amex Limited,"plot # 647-652, Kolma # 1, Word # 7, Po: Deiry Farm
Dhaka
Savar","Jackets
											 ,Shorts											,Pants"
Amheco Fabrics (Pvt.) Ltd.,"365, Jubilee Road, (2nd Floor)
Chittagong
Chittagong","Shirts
											 ,Blouses											,Jackets"
Amichi Apparels Ltd.,"122-123, Darussalam Road (4th Fl),
Dhaka
Dhaka","Pants
											 ,Jeans											,Jackets											,Trousers"
N/A,N/A,N/A
Amir Shirts Ltd.,"Sufua, Noabazar, Kalikapur Union
Comilla
Comilla","Shirts
											 ,Pants"
N/A,N/A,N/A
Amity Design Ltd.,"House # 7 & 9, Road # 9, Block -D, Section # 11
Dhaka
Mirpur","T-Shirts
											 ,Polo Shirts											,Pyjama Sets"
N/A,N/A,N/A
Amity Sweaters Ltd.,"Plot # 209, Hajirpukur
Gazipur
Choydana",Sweaters
Amotex Ltd.,"Kondol Bagh (Pukurpar), Yarpur, Zirabo
Dhaka
Dhaka","Sweaters
											 ,Socks"
Amotex Ltd. (Woven Unit),"Civil Engineer City (1st & 2nd Fl), Jarun
Gazipur
Konabari","Jackets
											 ,Pants											,Shorts"
Ample Fashion Ltd.,"Plot # 1 (2nd Floor), CDA Heavy I/A, Bahir Signal
Chittagong
Kalurghat","Girls Dress
											 ,Pants											,Diaper Cover"
Amrjin Apparels Ltd.,"2861, FIDC Road,
Chittagong
Kalurghat","Jackets
											 ,Trousers											,T-Shirts"
AMS Int'l (Sweaters) Ltd.,"34, Choydana, P.O: National University, Gazipur-1700
Gazipur","Sweater(Men, Ladies)
											 ,Infants, Kids											,Shawls, Ponchos											,Hats"
Amtranet Limited,"Kasba Tower, Plot # 160, Rajashan I/A
Dhaka
Savar",Sweaters
An.An. Apparels Ltd.,"590, Colonel Jhones Road,
Chittagong
Uttar Kattali","Swimming Shorts
											 ,Polo Shirts											,Denim Trousers"
Anam Garments Ltd.,"House # 66, Road # 4, Block - B, Section # 12
Dhaka
B. Baria","Jackets
											 ,Pants											,Trousers"
Anan Socks Limited,"Mulaid, Mowna,
Gazipur
Sreepur",Socks
Ananna Sweaters Ltd.,"Tangail Road, Out Para,
Gazipur
Gazipur Sadar",Sweater
Anannya Fashions Ltd.,"H # 79, Block # J, New Airport Road, Chairman Bari
Dhaka
Banani","Shirts
											 ,Pants											,Jackets"
Ananta Apparels Ltd.,"Ananta Plaza, 136, Elephent Road
Dhaka
Dhaka","Shirta
											 ,Denim Trousers											,Overalls"
Ananta Casual Wear Ltd.,"Konia, K.B. Bazar,
Gazipur
Gazipur","Shirts
											 ,Pants											,Trousers"
Ananta Denim Technology Ltd.,"Kashpara (Neya Bari), Kanchpur
Narayanganj
Narayangonj","Shirts
											 ,Jackets											,T-Shirts"
Ananta Fashion Ltd.,"Ananta Plaza, 136, Elephant Road
Dhaka
Dhaka","Blouses
											 ,Children Wears											,School Uniforms											,Trousers"
Ananta Garments Ltd.,"Nischintapur, Ashulia, DEPZ Road
Dhaka
B. Baria","Children Wears
											 ,Shorts											,Skirts											,Trousers"
Ananta Huaxiang Ltd.,"Plot # 222,223, H2, H3 & H4,,
Narayanganj
AEPZ",Sweater
Ananta Jeanswear Ltd.,"123, Kabi Jashim Uddin Road, Pagar
Gazipur
Tongi","Children Wears
											 ,Trousers											,Overalls"
Ananta Sportswear Ltd.,"Nishchintapur, Ashulia, DEPZ Road
Dhaka
Savar","Shirts
											 ,Trousers											,Shortalls											,Shorts"
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
Angel Fashion,"142/1, Senpara Parbata, (Begum Rokeya Sharoni), Mirpur-10
Dhaka
Dhaka","T-Shirts
											 ,Polo Shirts											,Fleece Jackets											,Pajama Sets"
Angel Sweater (BD) Ltd.,"Angel Tower, Matuail, Dakhan Para,
Dhaka
Jatrabari",Sweaters
Angela Fashion Limited,"768, D.T. Road, Askarabad
Chittagong
Double Mooring","Jackets
											 ,Blouses											,Shortalls"
N/A,N/A,N/A
N/A,N/A,N/A
Angora Fashions Ltd.,"Khokon Complex, National University
Gazipur
Chaydana","Shirts
											 ,Pants											,Skirts											,Trousers"
